model,stim,condition,fidelity,corrected,greedy_is_canonical,prompt_tokens
gpt2-medium,pi,fix,0.9095,0,0,50
gpt2-medium,pi,clutter,0.7579,0,0,72
gpt2-medium,pi,recite,0.8565,0,0,47
gpt2-medium,e,neutral,0.9872,0,0,32
gpt2-medium,e,exact,0.9942,0,0,53
gpt2-medium,e,fix,0.9911,0,0,48
gpt2-medium,e,clutter,0.9871,0,0,70
gpt2-medium,e,recite,0.9915,0,0,45
gpt2-medium,fib,neutral,0.9983,0,0,52
gpt2-medium,fib,exact,0.9975,0,0,73
gpt2-medium,fib,fix,0.998,0,0,68
gpt2-medium,fib,clutter,0.9955,0,0,90
gpt2-medium,fib,recite,0.9966,0,0,65
gpt2-medium,sonnet18,neutral,0.7176,0,0,32
gpt2-medium,sonnet18,exact,0.9083,0,0,53
gpt2-medium,sonnet18,fix,0.9623,0,0,48
gpt2-medium,sonnet18,clutter,0.8424,0,0,70
gpt2-medium,sonnet18,recite,0.8934,0,0,45
gpt2-medium,sonnet18b,neutral,1.0,0,0,41
gpt2-medium,sonnet18b,exact,1.0,0,0,62
gpt2-medium,sonnet18b,fix,1.0,0,0,57
gpt2-medium,sonnet18b,clutter,1.0,0,0,79
gpt2-medium,sonnet18b,recite,1.0,0,0,54
gpt2-medium,hamlet,neutral,0.9287,0,0,30
gpt2-medium,hamlet,exact,0.9425,0,0,51
gpt2-medium,hamlet,fix,0.953,0,0,46
gpt2-medium,hamlet,clutter,0.9962,0,0,68
gpt2-medium,hamlet,recite,0.9453,0,0,43
gpt2-medium,genesis,neutral,0.9272,0,0,23
gpt2-medium,genesis,exact,0.9572,0,0,44
gpt2-medium,genesis,fix,0.9688,0,0,39
gpt2-medium,genesis,clutter,0.9424,0,0,61
gpt2-medium,genesis,recite,0.8815,0,0,36
gpt2-medium,twinkle,neutral,0.9978,0,0,29
gpt2-medium,twinkle,exact,0.9996,0,0,50
gpt2-medium,twinkle,fix,0.9997,0,0,45
gpt2-medium,twinkle,clutter,0.9983,0,0,67
gpt2-medium,twinkle,recite,0.9995,0,0,42
