task,comparison,mean,lo,hi
sst2,C1-C0,0.03280000000000003,0.031200000000000026,0.03420000000000003
sst2,C2-C0,0.03540000000000003,0.03420000000000003,0.036600000000000035
sst2,C1-C3,0.032400000000000026,0.03160000000000003,0.03320000000000003
sst2,relevance_gain(C1-C3),0.032400000000000026,0.03160000000000003,0.03320000000000003
agnews,C1-C0,0.0014000000000000013,0.00020000000000000017,0.0032000000000000028
agnews,C2-C0,-0.033399999999999944,-0.03559999999999992,-0.03079500000000001
agnews,C1-C3,0.00020000000000000017,-0.0014000000000000013,0.0014000000000000013
agnews,relevance_gain(C1-C3),0.00020000000000000017,-0.0014000000000000013,0.0014000000000000013
