task,condition,acc_mean,acc_lo,acc_hi,f1_mean,f1_lo,f1_hi,val_acc_mean,n_seeds
sst2,C0,0.7756000000000001,0.775,0.7767999999999999,0.7755982023847094,0.7749979749817748,0.7767986571905787,0.7924000000000001,5
sst2,C1,0.8084000000000001,0.8076000000000001,0.8092000000000003,0.8083987023859102,0.8075993867961756,0.8091979446238446,0.8219999999999998,5
sst2,C2,0.8110000000000002,0.8104000000000001,0.8116000000000001,0.8109906573233239,0.8103889989515016,0.8115922344722815,0.8068,5
sst2,C3,0.776,0.776,0.776,0.775999103996416,0.775999103996416,0.775999103996416,0.806,5
agnews,C0,0.8448,0.843,0.8459999999999999,0.8446924916923993,0.8429322173356818,0.8458654800426849,0.8412,5
agnews,C1,0.8462,0.8459999999999999,0.8466000000000001,0.8463912667954384,0.8461553190699954,0.8468228413509042,0.8464,5
agnews,C2,0.8114000000000001,0.8104000000000001,0.8124,0.8118806059779156,0.8108795732059086,0.8128816387499225,0.8244,5
agnews,C3,0.8459999999999999,0.8447999999999999,0.847405,0.8464614424893975,0.845232852959556,0.8478895704343703,0.8591999999999999,5
