task,variant,acc_mean,acc_lo,acc_hi,n_seeds
sst2,teacher_with_prefix,0.8084000000000001,0.8076000000000001,0.8092000000000003,5
sst2,distilled_standalone,0.8094000000000001,0.7998000000000001,0.8171999999999999,5
sst2,hard_standalone,0.7784000000000001,0.777,0.78,5
agnews,teacher_with_prefix,0.8462,0.8459999999999999,0.8466000000000001,5
agnews,distilled_standalone,0.845,0.8438000000000001,0.8459999999999999,5
agnews,hard_standalone,0.843,0.8405999999999999,0.8454,5
